year,month,tmean
1945,Sep,-0.6499484181404114
1945,Oct,1.7823296785354614
1945,Nov,-5.547983646392822
1945,Dec,0.33104392886161804
1946,Jan,0.8324121832847595
1946,Feb,0.4950355589389801
1946,Mar,0.36266475915908813
1946,Apr,-1.3429592847824097
1946,May,1.9773176908493042
1946,Jun,1.9956066608428955
1946,Jul,0.18159723281860352
1946,Aug,-0.0915447399020195
1946,Sep,-1.520691990852356
1946,Oct,2.502626419067383
1946,Nov,-0.7970927357673645
1946,Dec,-6.626938343048096
1947,Jan,-2.511800527572632
1947,Feb,-0.8692444562911987
1947,Mar,5.609002113342285
1947,Apr,0.018985485658049583
1947,May,0.8562085032463074
1947,Jun,-1.5147881507873535
1947,Jul,0.07684552669525146
1947,Aug,-2.796168088912964
1947,Sep,-0.5011419653892517
1947,Oct,0.784721851348877
1947,Nov,3.4186899662017822
1947,Dec,5.39135217666626
1948,Jan,2.813875675201416
1948,Feb,3.458782911300659
1948,Mar,0.3584108054637909
1948,Apr,0.9848640561103821
1948,May,-0.7053471803665161
1948,Jun,-0.39705923199653625
1948,Jul,0.020946765318512917
1948,Aug,-1.7234400510787964
1948,Sep,-2.1103830337524414
1948,Oct,-1.4659485816955566
1948,Nov,-3.40877628326416
1948,Dec,-5.9157257080078125
1949,Jan,2.430276393890381
1949,Feb,-1.569450855255127
1949,Mar,7.1907782554626465
1949,Apr,-3.0874059200286865
1949,May,-2.290142297744751
1949,Jun,-2.5913848876953125
1949,Jul,-1.0089119672775269
1949,Aug,1.1194208860397339
1949,Sep,2.4936940670013428
1949,Oct,3.022357940673828
1949,Nov,5.771145343780518
1949,Dec,0.29011818766593933
1950,Jan,6.314403057098389
1950,Feb,-5.593774795532227
1950,Mar,4.827444076538086
1950,Apr,1.4470480680465698
1950,May,1.6887316703796387
1950,Jun,1.4748824834823608
1950,Jul,0.1630631387233734
1950,Aug,-0.036795955151319504
1950,Sep,1.3380829095840454
1950,Oct,0.7414684295654297
1950,Nov,1.262134075164795
1950,Dec,2.9492006301879883
1951,Jan,-5.029636383056641
1951,Feb,-1.5747157335281372
1951,Mar,-3.272737979888916
1951,Apr,1.7670494318008423
1951,May,0.8612248301506042
1951,Jun,-1.1706470251083374
1951,Jul,0.2573786675930023
1951,Aug,2.456829071044922
1951,Sep,1.4097505807876587
1951,Oct,-0.43000003695487976
1951,Nov,5.613223552703857
1951,Dec,1.457364797592163
1952,Jan,-3.3177545070648193
1952,Feb,-1.0391020774841309
1952,Mar,0.14158527553081512
1952,Apr,-0.3507729470729828
1952,May,-1.7386542558670044
1952,Jun,-0.18597178161144257
1952,Jul,0.7277071475982666
1952,Aug,-0.6024673581123352
1952,Sep,-1.606610894203186
1952,Oct,2.7238104343414307
1952,Nov,6.774567127227783
1952,Dec,2.8479225635528564
1953,Jan,-4.8299174308776855
1953,Feb,1.5351663827896118
